sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.7368810176849365,False,None,1.81
2,,28.44109731912613,0.0,True,1,8.3
3,-497.25,28.44109731912613,6.545700311660767,False,None,9.38
4,-400.8,28.44109731912613,14.765804052352905,False,None,13.7
5,-489.4,28.44109731912613,6.219009160995483,False,None,7.9
6,-212.75,24.550732970237732,1.73024320602417,False,None,3.97
7,,24.550732970237732,0.0,True,1,8.76
8,,24.550732970237732,0.0,True,1,9.6
9,-500.0,24.550732970237732,4.869848251342773,False,None,5.04
10,-343.5,30.573167502880096,17.191375732421875,False,None,14.12
11,-368.1,30.573167502880096,16.223114013671875,False,None,16.8
12,-395.6,30.573167502880096,16.260985136032104,False,None,15.16
13,-398.85,30.573167502880096,17.600741863250732,False,None,15.06
14,-296.2,24.115030705928802,6.210430860519409,False,None,9.01
15,,24.115030705928802,0.0,True,0,0.67
16,,24.115030705928802,0.0,True,1,7.29
17,,24.115030705928802,0.0,True,1,5.51
18,-348.55,31.148876011371613,18.87506413459778,False,None,19.1
19,,31.148876011371613,0.0,True,1,4.48
20,-277.65,31.148876011371613,19.066354990005493,False,None,16.73
21,-363.7,31.148876011371613,20.746263027191162,False,None,30.33
22,-500.0,30.642223477363586,3.956584930419922,False,None,10.02
23,-500.0,30.642223477363586,6.761313199996948,False,None,8.05
24,-500.0,30.642223477363586,4.162622928619385,False,None,11.28
25,-377.65,30.642223477363586,5.957815647125244,False,None,13.0
26,-359.8,34.33679133653641,6.957801103591919,False,None,22.19
27,,34.33679133653641,0.0,True,1,4.54
28,-369.45,34.33679133653641,8.896700859069824,False,None,13.49
29,,34.33679133653641,0.0,True,1,4.42
30,,30.59033179283142,0.0,True,1,5.96
31,,30.59033179283142,0.0,True,1,4.88
32,,30.59033179283142,0.0,True,0,0.31
33,-350.05,30.59033179283142,3.9845352172851562,False,None,5.2
34,,38.70737099647522,0.0,True,1,3.63
35,-213.25,38.70737099647522,4.748849153518677,False,None,6.72
36,,38.70737099647522,0.0,True,1,4.44
37,,38.70737099647522,0.0,True,1,4.64
38,,30.229059517383575,0.0,True,1,3.51
39,-211.4,30.229059517383575,8.796672582626343,False,None,9.92
40,-211.45,30.229059517383575,4.916097164154053,False,None,8.62
41,-264.4,30.229059517383575,5.396800994873047,False,None,9.23
42,,30.355751752853394,0.0,True,1,4.17
43,-322.3,30.355751752853394,5.64815616607666,False,None,9.36
44,-212.1,30.355751752853394,8.092319965362549,False,None,12.18
45,-242.9,30.355751752853394,5.745915174484253,False,None,13.11
46,,24.422335743904114,0.0,True,0,0.58
47,,24.422335743904114,0.0,True,1,9.25
48,-382.6,24.422335743904114,5.101529121398926,False,None,5.36
49,,24.422335743904114,0.0,True,1,5.73
50,-331.45,30.001008808612823,21.051450967788696,False,None,18.99
51,-290.65,30.001008808612823,19.48224377632141,False,None,19.46
52,-374.0,30.001008808612823,19.124650955200195,False,None,29.71
53,,30.001008808612823,0.0,True,1,4.64
54,,24.139904022216797,0.0,True,0,0.61
55,,24.139904022216797,0.0,True,1,7.93
56,,24.139904022216797,0.0,True,1,6.3
